site,id,water_pot_mpa,start_weight,weight_g,total_weight_g,mass_lost_g,dry_mass,wc,sat_mass_est,rwc,notes
ONAQ,8,3.856,2.1356,3.9823,1.572,0.5636,1.059,0.484419263456091,2.20745411949738,0.446687413359198,NA
ONAQ,8,4.331,2.1356,3.9275,1.5245,0.6111,1.059,0.439565627950897,2.20745411949738,0.405327467677791,"sticks fell off before measurement 0.0075g. troubleshooting with air leakage through lid and timing with other samples, which set back this measurement longer than I would have liked to go between measurements"
ONAQ,8,4.868,2.1356,3.8612,1.458,0.6776,1.059,0.376770538243626,2.20745411949738,0.347423543723821,NA
CdM,1,1.067,1.9925,5.1425,1.9925,2.2204460492503099e-16,1.0693,0.863368558870289,2.0544100569424,0.937154172261164,starting with parafilm
CdM,1,1.212,1.9925,5.132,1.982,0.0105000000000002,1.0693,0.853549050780885,2.0544100569424,0.926495464712699,NA
CdM,1,1.373,1.9925,5.1221,1.9721,0.0204000000000002,1.0693,0.844290657439446,2.0544100569424,0.916445826167005,NA
CdM,1,1.613,1.9925,5.1121,1.9621,0.0304,1.0693,0.834938744973347,2.0544100569424,0.906294676120848,NA
CdM,1,1.967,1.9925,5.0887,1.9387,0.0537999999999996,1.0693,0.813055269802675,2.0544100569424,0.882540985012843,NA
CdM,1,2.123,1.9925,5.0798,1.9298,0.0627000000000002,1.0693,0.804732067707846,2.0544100569424,0.873506461471763,NA
CdM,1,2.229,1.9925,5.1337,1.9203,0.0721999999999996,1.0693,0.795847750865052,2.0544100569424,0.863862868927915,"air started leaking out of the side stem via hole in the parafilm, added more parafilm to stop leakage (parafilm #2)"
CdM,1,2.348,1.9925,5.1271,1.9137,0.0787999999999993,1.0693,0.789675488637427,2.0544100569424,0.857163109897452,NA
CdM,1,2.557,1.9925,5.1165,1.9031,0.0893999999999995,1.0693,0.779762461423362,2.0544100569424,0.846402890848526,NA
CdM,1,2.758,1.9925,5.1083,1.8949,0.0975999999999999,1.0693,0.77209389320116,2.0544100569424,0.838078947810677,NA
CdM,1,2.987,1.9925,5.0943,1.8831,0.1094,1.0693,0.761058636491162,2.0544100569424,0.826100590756212,"bark fell off before measurement, 0.0022g, added into total_weight_(g) column here and beyond"
CdM,1,3.235,1.9925,5.0841,1.8729,0.119599999999999,1.0693,0.751519685775742,2.0544100569424,0.815746417709133,"leaf fell off after measurement, weighed separately and added into total_weight_(g) column after this measurement and beyond. ""?"" on time value"
CdM,1,3.301,1.9925,5.0062,1.8633,0.1292,1.0693,0.742541849808286,2.0544100569424,0.806001313664823,swapped parafilm & parafilm #2 for parafilm #3 because of another leakage in the parafilm. leakage did not appear to be from the stem itself.
CdM,1,3.495,1.9925,4.9939,1.8504,0.1421,1.0693,0.730477882727018,2.0544100569424,0.792906330105281,NA
CdM,1,3.735,1.9925,4.9791,1.8351,0.1574,1.0693,0.716169456653886,2.0544100569424,0.777375070534661,NA
CdM,1,3.95,1.9925,4.9641,1.8195,0.173,1.0693,0.701580473206771,2.0544100569424,0.761539276462658,put in drying oven 15-20 min at 25 degrees C
CdM,1,4.225,1.9925,4.9472,1.8019,0.1906,1.0693,0.685121107266436,2.0544100569424,0.743673252381422,put in drying oven 72 min at 30 degrees C
CdM,4,1.343,2.8165,5.2359,2.7907,0.0258000000000003,1.4735,0.893926026467594,2.9069389745739,0.918909017659121,NA
CdM,4,1.562,2.8165,5.2202,2.775,0.0415000000000001,1.4735,0.883271123176111,2.9069389745739,0.907956336534578,NA
CdM,4,1.876,2.8165,5.1986,2.7534,0.0631000000000004,1.4735,0.868612147947065,2.9069389745739,0.892887679700811,NA
CdM,4,2.168,2.8165,5.1808,2.7356,0.0809000000000006,1.4735,0.856532066508313,2.9069389745739,0.880469990272985,NA
CdM,4,2.408,2.8165,5.1664,2.7212,0.0952999999999999,1.4735,0.846759416355616,2.9069389745739,0.870424219050475,NA
CdM,4,2.531,2.8165,5.1549,2.7097,0.106800000000001,1.4735,0.838954869358669,2.9069389745739,0.862401554532497,NA
CdM,4,2.72,2.8165,5.1394,2.6942,0.1223,1.4735,0.828435697319308,2.9069389745739,0.851588398008267,NA
CdM,4,2.843,2.8165,5.124,2.6788,0.137700000000001,1.4735,0.817984390906006,2.9069389745739,0.840845003784192,leaf fell off after measurement
CdM,4,2.968,2.8165,5.0939,2.6627,0.153800000000001,1.4735,0.807058025110281,2.9069389745739,0.829613273459023,NA
CdM,4,3.403,2.8165,5.0746,2.643,0.1735,1.4735,0.793688496776383,2.9069389745739,0.815870100328228,NA
CdM,4,3.546,2.8165,5.0547,2.6224,0.1941,1.4735,0.77970817780794,2.9069389745739,0.801499066496025,put in drying oven for 10-20 min @ 25/26 degrees C before measuring
CdM,4,3.668,2.8165,5.0405,2.6079,0.208600000000001,1.4735,0.769867662029182,2.9069389745739,0.791383532973357,"leaf fell off after measurement (leaf weighed with the branch this datapoint, separately onward). put in drying oven for 50 min @ 25 degrees C before measuring"
CdM,4,3.98,2.8165,4.9148,2.5716,0.2449,1.4735,0.745232439769257,2.9069389745739,0.766059818016611,NA
CdM,4,NA,2.8165,NA,NA,NA,1.4735,NA,2.9069389745739,NA,stem broke during measurement :(
CdM,5,0.996,3.3955,5.9551,3.3955,4.44089209850063e-16,1.8918,0.794851464213976,3.48912367939375,0.941387158656986,parafilm added before this measurement (0.0501g)
CdM,5,1.15,3.3955,5.9379,3.3783,0.0172000000000003,1.8918,0.785759594037425,3.48912367939375,0.930619146999807,NA
CdM,5,1.323,3.3955,5.9213,3.3617,0.0338000000000007,1.8918,0.776984882122846,3.48912367939375,0.92022676365625,NA
CdM,5,1.553,3.3955,5.8985,3.3389,0.0566,1.8918,0.764932868167883,3.48912367939375,0.905952887738594,NA
CdM,5,1.958,3.3955,5.8737,3.3141,0.0813999999999999,1.8918,0.751823660006343,3.48912367939375,0.890426917442197,NA
CdM,5,2.124,3.3955,5.8584,3.2988,0.0967000000000007,1.8918,0.743736124326039,3.48912367939375,0.880848395444822,NA
CdM,5,2.251,3.3955,5.8414,3.2818,0.1137,1.8918,0.734749973570145,3.48912367939375,0.870205593225517,NA
CdM,5,2.51,3.3955,5.8238,3.2642,0.1313,1.8918,0.725446664552278,3.48912367939375,0.85918716269259,NA
CdM,5,2.653,3.3955,5.8059,3.2463,0.1492,1.8918,0.715984776403426,3.48912367939375,0.847980918002851,NA
CdM,5,2.883,3.3955,5.7862,3.2266,0.1689,1.8918,0.705571413468654,3.48912367939375,0.835647788372245,NA
CdM,5,2.958,3.3955,5.777,3.2174,0.1781,1.8918,0.700708320118406,3.48912367939375,0.829888154230033,NA
CdM,5,3.234,3.3955,5.7475,3.1902,0.205300000000001,1.8918,0.686330478908975,3.48912367939375,0.812859670679145,took off 0.0023g of parafilm
CdM,5,3.498,3.3955,5.7117000000000004,3.1544,0.2411,1.8918,0.66740670261127,3.48912367939375,0.790447181299668,NA
CdM,5,3.934,3.3955,5.6774,3.1201,0.275400000000001,1.8918,0.649275821968495,3.48912367939375,0.768973762704246,NA
CdM,7,0.89,1.7764,4.1548,1.7695,0.00690000000000013,0.9064,0.952228596646072,1.81045804483877,0.954695337237916,NA
CdM,7,1.157,1.7764,4.1319,1.7466,0.0298,0.9064,0.926963812886143,1.81045804483877,0.929365105256977,NA
CdM,7,1.557,1.7764,4.1101,1.7248000000000001,0.0515999999999999,0.9064,0.902912621359223,1.81045804483877,0.905251609310058,NA
CdM,7,1.78,1.7764,4.0969,1.7116,0.0648000000000002,0.9064,0.888349514563107,1.81045804483877,0.890650776901831,NA
CdM,7,2.063,1.7764,4.0842,1.6989,0.0774999999999999,0.9064,0.874338040600177,1.81045804483877,0.876603006327249,NA
CdM,7,2.382,1.7764,4.0715,1.6862,0.0901999999999996,0.9064,0.860326566637247,1.81045804483877,0.862555235752668,NA
CdM,7,2.51,1.7764,4.0624,1.6771,0.0992999999999997,0.9064,0.850286849073257,1.81045804483877,0.852489510380329,drying oven @ 30 degrees C 25 min before measured
CdM,7,2.838,1.7764,4.0473,1.662,0.1144,0.9064,0.833627537511033,1.81045804483877,0.835787043004251,NA
CdM,7,NA,1.7764,NA,NA,NA,0.9064,NA,1.81045804483877,NA,"stem broke during measurement, so no reading :("
SRER,1,1.11,4.7327,4.7327,4.7327,0,2.1702,1.1807667496083314,4.9256262446693,0.9299831577627822,NA
SRER,1,1.36,4.7327,4.719,4.719,0.01370000000000004,2.1702,1.1744539673762788,4.9256262446693,0.9250111502461578,NA
SRER,1,1.57,4.7327,4.686,4.686,0.04670000000000041,2.1702,1.1592479955764443,4.9256262446693,0.9130347817754564,NA
