"","id","dt","water_pot_mpa","total_weight_g","start_wp","start_weight","mass_lost_g","superID","dry_mass","wc","r2","n","slope","sat_mass_est","keep","rwc","rwc_plotting"
"27",3,2025-03-13 06:15:00,-3.168,7.7392,-1.093,8.2263,0.487100000000001,2,4.5902,0.686026752646943,0.997043210047369,4,0.210600648064351,8.441772607479,FALSE,0.817588118132644,0.182411881867356
"28",3,2025-03-13 08:55:00,-3.343,7.6925,-1.093,8.2263,0.5338,2,4.5902,0.675852904012897,0.997043210047369,4,0.210600648064351,8.441772607479,FALSE,0.805463200661449,0.194536799338551
"29",3,2025-03-13 10:29:00,-3.528,7.6577,-1.093,8.2263,0.568600000000001,2,4.5902,0.668271535009368,0.997043210047369,4,0.210600648064351,8.441772607479,FALSE,0.796427930254648,0.203572069745352
"30",3,2025-03-13 12:00:00,-3.686,7.6092,-1.093,8.2263,0.6171,2,4.5902,0.657705546599277,0.997043210047369,4,0.210600648064351,8.441772607479,FALSE,0.783835671210687,0.216164328789313
"31",3,2025-03-13 14:01:00,-3.838,7.5738,-1.093,8.2263,0.652500000000001,2,4.5902,0.649993464337066,0.997043210047369,4,0.210600648064351,8.441772607479,FALSE,0.77464462027963,0.22535537972037
"32",4,2025-03-12 18:59:00,-1.343,2.7907,-1.113,2.8165,0.0258000000000003,3,1.4735,0.893926026467594,0.999868375954595,3,0.0698987103096301,2.88442857799678,TRUE,0.933569580020942,0.066430419979058
"33",4,2025-03-12 19:38:00,-1.562,2.775,-1.113,2.8165,0.0415000000000001,3,1.4735,0.883271123176111,0.999868375954595,3,0.0698987103096301,2.88442857799678,TRUE,0.922442156390264,0.0775578436097356
"34",4,2025-03-12 20:24:00,-1.876,2.7534,-1.113,2.8165,0.0631000000000004,3,1.4735,0.868612147947065,0.999868375954595,3,0.0698987103096301,2.88442857799678,TRUE,0.907133089484364,0.0928669105156364
"35",4,2025-03-12 21:18:00,-2.168,2.7356,-1.113,2.8165,0.0809000000000006,3,1.4735,0.856532066508313,0.999868375954595,3,0.0698987103096301,2.88442857799678,FALSE,0.894517284348945,0.105482715651055
"36",4,2025-03-12 22:18:00,-2.408,2.7212,-1.113,2.8165,0.0952999999999999,3,1.4735,0.846759416355616,0.999868375954595,3,0.0698987103096301,2.88442857799678,FALSE,0.884311239745012,0.115688760254988
"37",4,2025-03-12 23:20:00,-2.531,2.7097,-1.113,2.8165,0.106800000000001,3,1.4735,0.838954869358669,0.999868375954595,3,0.0698987103096301,2.88442857799678,FALSE,0.876160579123814,0.123839420876186
"38",4,2025-03-13 00:48:00,-2.72,2.6942,-1.113,2.8165,0.1223,3,1.4735,0.828435697319308,0.999868375954595,3,0.0698987103096301,2.88442857799678,FALSE,0.865174906112636,0.134825093887364
"39",4,2025-03-13 02:21:00,-2.843,2.6788,-1.113,2.8165,0.137700000000001,3,1.4735,0.817984390906006,0.999868375954595,3,0.0698987103096301,2.88442857799678,FALSE,0.854260108411206,0.145739891588794
"40",4,2025-03-13 04:06:00,-2.968,2.6627,-1.113,2.8165,0.153800000000001,3,1.4735,0.807058025110281,0.999868375954595,3,0.0698987103096301,2.88442857799678,FALSE,0.84284918354153,0.15715081645847
"41",4,2025-03-13 06:20:00,-3.403,2.643,-1.113,2.8165,0.1735,3,1.4735,0.793688496776383,0.999868375954595,3,0.0698987103096301,2.88442857799678,FALSE,0.828886747520871,0.171113252479129
"42",4,2025-03-13 08:14:00,-3.546,2.6224,-1.113,2.8165,0.1941,3,1.4735,0.77970817780794,0.999868375954595,3,0.0698987103096301,2.88442857799678,FALSE,0.814286433712466,0.185713566287534
"43",4,2025-03-13 09:22:00,-3.668,2.6079,-1.113,2.8165,0.208600000000001,3,1.4735,0.769867662029182,0.999868375954595,3,0.0698987103096301,2.88442857799678,FALSE,0.804009513798782,0.195990486201218
"44",4,2025-03-13 11:28:00,-3.98,2.5716,-1.113,2.8165,0.2449,3,1.4735,0.745232439769257,0.999868375954595,3,0.0698987103096301,2.88442857799678,FALSE,0.7782817763597,0.2217182236403
"45",4,NA,NA,NA,-1.113,2.8165,NA,3,1.4735,NA,0.999868375954595,3,0.0698987103096301,2.88442857799678,FALSE,NA,NA
"46",5,2025-03-12 20:53:00,-0.996,3.3955,-0.996,3.3955,4.44089209850063e-16,4,1.8918,0.794851464213976,0.999132922380431,4,0.100886709845917,3.49526326421155,TRUE,0.937782631858046,0.0622173681419536
"47",5,2025-03-12 21:24:00,-1.15,3.3783,-0.996,3.3955,0.0172000000000003,4,1.8918,0.785759594037425,0.999132922380431,4,0.100886709845917,3.49526326421155,TRUE,0.927055850406987,0.0729441495930131
"48",5,2025-03-12 22:08:00,-1.323,3.3617,-0.996,3.3955,0.0338000000000007,4,1.8918,0.776984882122846,0.999132922380431,4,0.100886709845917,3.49526326421155,TRUE,0.916703259006545,0.0832967409934546
"49",5,2025-03-12 22:56:00,-1.553,3.3389,-0.996,3.3955,0.0566,4,1.8918,0.764932868167883,0.999132922380431,4,0.100886709845917,3.49526326421155,TRUE,0.902484037083048,0.0975159629169519
"50",5,2025-03-13 00:02:00,-1.958,3.3141,-0.996,3.3955,0.0813999999999999,4,1.8918,0.751823660006343,0.999132922380431,4,0.100886709845917,3.49526326421155,FALSE,0.887017514990823,0.112982485009177
"51",5,2025-03-13 01:02:00,-2.124,3.2988,-0.996,3.3955,0.0967000000000007,4,1.8918,0.743736124326039,0.999132922380431,4,0.100886709845917,3.49526326421155,FALSE,0.877475668700054,0.122524331299946
"52",5,2025-03-13 02:15:00,-2.251,3.2818,-0.996,3.3955,0.1137,4,1.8918,0.734749973570145,0.999132922380431,4,0.100886709845917,3.49526326421155,FALSE,0.866873617265867,0.133126382734133
"53",5,2025-03-13 03:49:00,-2.51,3.2642,-0.996,3.3955,0.1313,4,1.8918,0.725446664552278,0.999132922380431,4,0.100886709845917,3.49526326421155,FALSE,0.855897375781062,0.144102624218938
"54",5,2025-03-13 05:23:00,-2.653,3.2463,-0.996,3.3955,0.1492,4,1.8918,0.715984776403426,0.999132922380431,4,0.100886709845917,3.49526326421155,FALSE,0.844734039270948,0.155265960729052
"55",5,2025-03-13 07:20:00,-2.883,3.2266,-0.996,3.3955,0.1689,4,1.8918,0.705571413468654,0.999132922380431,4,0.100886709845917,3.49526326421155,FALSE,0.832448132608978,0.167551867391022
"56",5,2025-03-13 08:34:00,-2.958,3.2174,-0.996,3.3955,0.1781,4,1.8918,0.700708320118406,0.999132922380431,4,0.100886709845917,3.49526326421155,FALSE,0.82671055183283,0.17328944816717
"57",5,2025-03-13 10:39:00,-3.234,3.1902,-0.996,3.3955,0.205300000000001,4,1.8918,0.686330478908975,0.999132922380431,4,0.100886709845917,3.49526326421155,FALSE,0.809747269538131,0.190252730461869
"58",5,2025-03-13 12:46:00,-3.498,3.1544,-0.996,3.3955,0.2411,4,1.8918,0.66740670261127,0.999132922380431,4,0.100886709845917,3.49526326421155,FALSE,0.787420596517902,0.212579403482098
