"","id","dt","water_pot_mpa","total_weight_g","total_dry_weight_g","start_weight","mass_lost_g","superID","dry_mass","wc","r2","n","slope","sat_mass_est","keep","rwc","rwc_plotting"
"39","4a",2025-03-13 07:02:00,-2.778,1.466,NA,1.7507,0.2847,3,1.0066,0.456387840254322,0.987298973740984,8,0.191063053069113,1.99032872131527,TRUE,0.46699866543062,0.53300133456938
"40","4a",2025-03-13 09:09:00,-3.068,1.4313,NA,1.7507,0.3194,3,1.0066,0.421915358633022,0.987298973740984,8,0.191063053069113,1.99032872131527,FALSE,0.4317247131223,0.5682752868777
"41","4a",2025-03-13 11:17:00,-3.326,1.4074,NA,1.7507,0.3433,3,1.0066,0.398172064375124,0.987298973740984,8,0.191063053069113,1.99032872131527,FALSE,0.407429397267289,0.592570602732711
"42","4a",2025-03-13 13:16:00,-3.74,1.3711,NA,1.7507,0.379599999999999,3,1.0066,0.362110073514803,0.987298973740984,8,0.191063053069113,1.99032872131527,FALSE,0.370528980299219,0.629471019700781
"43","4a",2025-03-13 15:21:00,-4.125,1.3391,NA,1.7507,0.4116,3,1.0066,0.330319888734354,0.987298973740984,8,0.191063053069113,1.99032872131527,FALSE,0.337999687104226,0.662000312895774
"44","4a",NA,NA,NA,NA,1.7507,NA,3,1.0066,NA,0.987298973740984,8,0.191063053069113,1.99032872131527,FALSE,NA,NA
"45","5b",2025-03-12 23:25:00,-2.39,3.5279,NA,3.5279,4.44089209850063e-16,4,2.4518,0.43890203116078,0.979911549309325,4,0.457845051247144,4.60388645611241,TRUE,0.500026379954965,0.499973620045035
"46","5b",2025-03-12 23:51:00,-2.489,3.4392,NA,3.5279,0.0886999999999998,4,2.4518,0.40272452891753,0.979911549309325,4,0.457845051247144,4.60388645611241,TRUE,0.458810563672087,0.541189436327913
"47","5b",2025-03-13 00:43:00,-2.729,3.3607,NA,3.5279,0.1672,4,2.4518,0.370707235500449,0.979911549309325,4,0.457845051247144,4.60388645611241,TRUE,0.422334333929066,0.577665666070934
"48","5b",2025-03-13 03:10:00,-3.016,3.2236,NA,3.5279,0.3043,4,2.4518,0.314789134513419,0.979911549309325,4,0.457845051247144,4.60388645611241,TRUE,0.358628714849217,0.641371285150783
"49","5b",2025-03-13 04:30:00,-3.165,3.1963,NA,3.5279,0.331599999999999,4,2.4518,0.303654457949262,0.979911549309325,4,0.457845051247144,4.60388645611241,FALSE,0.345943350874892,0.654056649125108
"50","5b",2025-03-13 06:19:00,-3.332,3.169,NA,3.5279,0.3589,4,2.4518,0.292519781385105,0.979911549309325,4,0.457845051247144,4.60388645611241,FALSE,0.333257986900568,0.666742013099432
"51","5b",2025-03-13 08:40:00,-3.586,3.1086,NA,3.5279,0.4193,4,2.4518,0.267884819316421,0.979911549309325,4,0.457845051247144,4.60388645611241,FALSE,0.305192199939059,0.694807800060941
"52","5b",2025-03-13 11:30:00,-3.948,3.0707,NA,3.5279,0.4572,4,2.4518,0.252426788481932,0.979911549309325,4,0.457845051247144,4.60388645611241,FALSE,0.287581383286059,0.712418616713941
"53","5b",2025-03-13 13:28:00,-4.253,3.0293,NA,3.5279,0.4986,4,2.4518,0.235541235011012,0.979911549309325,4,0.457845051247144,4.60388645611241,FALSE,0.268344237918402,0.731655762081598
"54","5b",NA,NA,NA,NA,3.5279,NA,4,2.4518,NA,0.979911549309325,4,0.457845051247144,4.60388645611241,FALSE,NA,NA
"55","6",2025-03-12 13:39:00,-1.368,4.9429,NA,4.9429,0,5,2.6039,0.898267982641422,0.972714356707578,3,0.885409385588141,6.14455098133377,TRUE,0.660612981152662,0.339387018847338
"56","6",2025-03-12 14:13:00,-1.633,4.6664,NA,4.9429,0.2765,5,2.6039,0.792081109105572,0.972714356707578,3,0.885409385588141,6.14455098133377,TRUE,0.582519997275487,0.417480002724513
"57","6",2025-03-12 14:25:00,-1.745,4.6222,NA,4.9429,0.3207,5,2.6039,0.775106570912861,0.972714356707578,3,0.885409385588141,6.14455098133377,TRUE,0.570036417212662,0.429963582787338
"58","6",2025-03-12 14:52:00,-1.925,4.5505,NA,4.9429,0.392399999999999,5,2.6039,0.74757095126541,0.972714356707578,3,0.885409385588141,6.14455098133377,FALSE,0.549785903852831,0.450214096147169
