sample,ID,P.MPa,mass.g,mass_lost,leaf.mass.g,offset.mass.g,note,dry_mass,wc,r2,n,slope,sat_mass_est,keep,rwc,rwc_plotting
LATR_4,4,4.49,2.7256,0.5682999999999998,2.7152,0.0104,NA,1.5351,0.7755195101296334,0.9931260091980543,6,-0.0866491845753632,3.3871385887564402,FALSE,0.6428051808571477,0.35719481914285234
LATR_4,4,4.74,2.691,0.6029,2.6806,0.0104,NA,1.5351,0.7529802618721907,0.9931260091980543,6,-0.0866491845753632,3.3871385887564402,FALSE,0.6241230647230381,0.37587693527696187
LATR_4,4,5.23,2.6086,0.6852999999999998,2.5982,0.0104,NA,1.5351,0.6993029770047555,0.9931260091980543,6,-0.0866491845753632,3.3871385887564402,FALSE,0.5796315511551012,0.42036844884489877
LATR_5,5,1.99,3.2982,0.09719999999999995,3.2862,0,NA,1.4964,1.2040898155573376,0.9898447779080013,5,-0.15708765897786794,3.621322503922287,TRUE,0.847936805541919,0.15206319445808103
LATR_5,5,2.39,3.256,0.1394000000000002,3.256,0,NA,1.4964,1.1758887997861533,0.9898447779080013,5,-0.15708765897786794,3.621322503922287,TRUE,0.8280772577597738,0.1719227422402262
LATR_5,5,2.65,3.2108,0.1846000000000001,3.2108,0,NA,1.4964,1.1456829724672548,0.9898447779080013,5,-0.15708765897786794,3.621322503922287,TRUE,0.8068058937845853,0.19319410621541466
LATR_5,5,3.1,3.1363,0.2591000000000001,3.1363,0,NA,1.4964,1.0958968190323444,0.9898447779080013,5,-0.15708765897786794,3.621322503922287,TRUE,0.7717457916573387,0.2282542083426613
LATR_5,5,3.36,3.0862,0.30920000000000014,3.0862,0,NA,1.4964,1.0624164661855118,0.9898447779080013,5,-0.15708765897786794,3.621322503922287,TRUE,0.7481684612335124,0.25183153876648756
LATR_5,5,3.56,3.025,0.37040000000000006,3.025,0,NA,1.4964,1.0215183106121357,0.9898447779080013,5,-0.15708765897786794,3.621322503922287,FALSE,0.7193674108954253,0.28063258910457467
LATR_5,5,3.66,2.9758,0.4196,2.9758,0,NA,1.4964,0.9886394012296178,0.9898447779080013,5,-0.15708765897786794,3.621322503922287,FALSE,0.6962136253295121,0.30378637467048786
LATR_5,5,4,2.932,0.4634,2.932,0,NA,1.4964,0.9593691526329858,0.9898447779080013,5,-0.15708765897786794,3.621322503922287,FALSE,0.6756011089110772,0.32439889108892284
LATR_5,5,4.31,2.8975,0.4979,2.8975,0,NA,1.4964,0.936313819834269,0.9898447779080013,5,-0.15708765897786794,3.621322503922287,FALSE,0.6593652226910771,0.3406347773089229
LATR_5,5,4.68,2.7929,0.6025,2.7929,0,NA,1.4964,0.8664127238706228,0.9898447779080013,5,-0.15708765897786794,3.621322503922287,FALSE,0.6101398980936275,0.38986010190637255
LATR_5,5,4.95,2.7492,0.6461999999999999,2.7492,0,NA,1.4964,0.8372093023255816,0.9898447779080013,5,-0.15708765897786794,3.621322503922287,FALSE,0.5895744422149607,0.4104255577850393
LATR_6,6,1.26,4.7428,0.04790000000000027,4.7428,0,NA,1.9769,1.3991097172340532,0.991145415439205,7,-0.17394210526315762,4.947170466165413,TRUE,0.9311946610608652,0.06880533893913476
LATR_6,6,1.46,4.6908,0.09989999999999988,4.6908,0,NA,1.9769,1.372805908240174,0.991145415439205,7,-0.17394210526315762,4.947170466165413,TRUE,0.9136878378296694,0.08631216217033055
LATR_6,6,1.64,4.6664,0.12429999999999986,4.6664,0,NA,1.9769,1.3604633517122768,0.991145415439205,7,-0.17394210526315762,4.947170466165413,TRUE,0.9054730976981082,0.09452690230189176
LATR_6,6,1.75,4.6276,0.16310000000000002,4.6276,0,NA,1.9769,1.3408366634629976,0.991145415439205,7,-0.17394210526315762,4.947170466165413,TRUE,0.8924103142102158,0.10758968578978423
LATR_6,6,2.35,4.526,0.2647000000000004,4.526,0,NA,1.9769,1.2894430674288024,0.991145415439205,7,-0.17394210526315762,4.947170466165413,TRUE,0.8582046749738789,0.14179532502612113
